id,channel_name,url
0,中視新聞,https://www.youtube.com/watch?v=TCnaIE_SAtM
1,華視新聞,https://www.youtube.com/watch?v=wM0g8EoUZ_E
2,東森新聞,https://www.youtube.com/watch?v=V1p33hqPrUk
3,鏡新聞,https://www.youtube.com/watch?v=5n0y6b0Q25o
4,中天新聞,https://www.youtube.com/watch?v=oIgbl7t0S_w
5,民視新聞,https://www.youtube.com/watch?v=ylYJSBUgaMA
6,三立新聞,https://www.youtube.com/watch?v=oZdzzvxTfUY
7,TVBS NEWS,https://www.youtube.com/watch?v=m_dhMSvUCIc
8,寰宇新聞台,https://www.youtube.com/watch?v=6IquAgfvYmc
9,公視新聞,https://www.youtube.com/watch?v=quwqlazU-c8
10,東森財經新聞,https://www.youtube.com/watch?v=WHEPzbFA3hw
11,三立iNEWS,https://www.youtube.com/watch?v=CKjSm5ZeehE
12,寰宇財經台,https://www.youtube.com/watch?v=WTRQiVWK1jY
